site,placeid,time,lat,lon
La Mesa,1001,2/20/20 16:55,32.74710931,-117.0145372
SYHealth,1002,2/21/20 16:55,32.57326166,-117.0685127
Tacos El Gordo,1003,2/22/20 16:55,32.66836424,-117.0966045
Cabrillo Monument,1004,2/23/20 16:55,32.6723823,-117.2419903
Coronado dog park,1005,2/24/20 16:55,32.6866151,-117.1931096
Petco Park,1006,2/25/20 16:55,32.70634331,-117.1566412
Convention Center,1007,2/26/20 16:55,32.70728222,-117.1621558
Monkey Paw,1008,2/27/20 16:55,32.71381581,-117.1493054
Horton Plaza/Election Night,1009,2/28/20 16:55,32.71457418,-117.1634026
Radio (Carters),1010,2/29/20 16:55,32.72022395,-117.0628102
Hamilton's,1011,3/1/20 16:55,32.72195928,-117.1295333
Balboa Park,1012,3/2/20 16:55,32.72956817,-117.1512162
Tiffin,1013,3/3/20 16:55,32.72985,-117.0542861
Lindberg Field,1014,3/4/20 16:55,32.731702,-117.199151
The Bluefoot,1015,3/5/20 16:55,32.74129599,-117.130304
Sabor,1016,3/6/20 16:55,32.74177982,-117.0447062
Hillcrest Apt,1017,3/7/20 16:55,32.74476753,-117.1451527
Pizza Port OB,1018,3/8/20 16:55,32.74826628,-117.2509806
Wedding Park,1019,3/9/20 16:55,32.74906481,-117.1772697
Red Sea Ethiopian,1020,3/10/20 16:55,32.74941093,-117.0930705
OB Dog Beach,1021,3/11/20 16:55,32.75727084,-117.2536652
Small Bar,1022,3/12/20 16:55,32.76155962,-117.1464453
Polite Provisions/Fall Brewing,1023,3/13/20 16:55,32.76291639,-117.1315792
Wedding Reception,1024,3/14/20 16:55,32.76434901,-117.1950582
USD,1025,3/15/20 16:55,32.77033031,-117.1936472
CMSS,1026,3/16/20 16:55,32.79130691,-116.9618115
Kyle's Spot LJ,1027,3/17/20 16:55,32.819031,-117.276953
Alpine Brewing,1028,3/18/20 16:55,32.83720816,-116.7760037
La Jolla Cove/Beer,1029,3/19/20 16:55,32.84347,-117.27569
Alesmith,1030,3/20/20 16:55,32.88836833,-117.1493887
Snow for Remy,1031,3/21/20 16:55,32.92709395,-116.5688361
Dave's House,1032,3/22/20 16:55,32.96806226,-117.1371184
Julian Pie Co,1033,3/23/20 16:55,33.07909598,-116.6037951
Wildflowers,1034,3/24/20 16:55,33.10069693,-116.304524
Aliyah/Ethan's,1035,3/25/20 16:55,32.80622066,-117.1251933
Feather Ridge,1036,3/26/20 16:55,32.95838566,-117.1179559
Green Flash,1037,3/27/20 16:55,32.90745,-117.17796
MCHS,1038,3/28/20 16:55,32.96802687,-117.1227948
Mesa Verde,1039,3/29/20 16:55,32.961654,-117.145534
Costco MV,1040,3/30/20 16:55,32.78271387,-117.12873
Qualcomm,1041,3/31/20 16:55,32.7824252,-117.1191813
Ramona,1042,4/1/20 16:55,33.015279,-116.866598
San marcos,1043,4/2/20 16:55,33.15989565,-117.1969314
SD Dems office,1044,4/3/20 16:55,32.83410732,-117.1457285
Sedge Court,1045,4/4/20 16:55,32.95199025,-117.1232454
UCSD,1046,4/5/20 16:55,32.88056467,-117.2405607
Zenith,1047,4/6/20 16:55,32.79244099,-117.103117
Sprouts La Mesa,1048,4/7/20 16:55,32.76285116,-117.0182801
Costco La Mesa,1049,4/8/20 16:55,32.77382966,-117.0243981
I-5 Route,1050,4/9/20 16:55,33.427691,-117.592235
I-15 Route,1051,4/10/20 16:55,33.5048003,-117.1400971
Lost Abbey,1052,4/11/20 16:55,33.14165258,-117.1521114
Escondido High School,1053,4/12/20 16:55,33.14448865,-117.0905835